"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation"
"470","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",15.78,37.658381531457,"Q >= newx1Low"
"471","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"472","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice4",33.03,37.6583097561758,"Q >= newx1Low"
"473","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice5",49.71,37.6569922477632,"Q >= newx1Low"
"474","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice6",7.62,37.6583823604505,"Q >= newx1Low"
"475","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"476","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"477","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"478","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Low"
"479","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice5",NA,NA,"Q >= newx1Low"
"480","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice6",NA,NA,"Q >= newx1Low"
"481","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"482","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",35.99,53.1892758319745,"Q >= newx1Med"
"483","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"484","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice4",63.92,53.1892830019882,"Q >= newx1Med"
"485","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice5",88.1,53.1892623217036,"Q >= newx1Med"
"486","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice6",21.27,53.1892758826329,"Q >= newx1Med"
"487","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"488","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"489","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"490","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Med"
"491","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice5",NA,NA,"Q >= newx1Med"
"492","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice6",NA,NA,"Q >= newx1Med"
"493","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"494","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",68.36,68.722935826449,"Q >= newx1High"
"495","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"496","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice4",111.88,68.7390520060496,"Q >= newx1High"
"497","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice5",NA,NA,"Q < 0"
"498","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice6",45.38,68.7202987975472,"Q >= newx1High"
"499","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"500","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"501","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"502","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1High"
"503","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice5",NA,NA,"Q < 0"
"504","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice6",NA,NA,"Q >= newx1High"
"505","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice1",38.88,0.109078115249051,"Q >= newx1Low"
"506","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",16.41,1.02564976363547,"Q >= min_limit & Q <= newx1Low"
"507","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice3",76.12,0.102582241525695,"Q >= newx1Low"
"508","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice4",14.5,1.02597148313293,"Q >= min_limit & Q <= newx1Low"
"509","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice5",63.87,1.01745404968409,"Q >= min_limit & Q <= newx1Low"
"510","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice6",9.89,1.02597129479308,"Q >= min_limit & Q <= newx1Low"
"511","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"512","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"513","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"514","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= newx1Low"
"515","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice5",NA,NA,"Q >= min_limit & Q <= newx1Low"
"516","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice6",NA,NA,"Q >= min_limit & Q <= newx1Low"
"517","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice1",41.41,0.203637991421705,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"518","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",0.16,0.129845818625861,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"519","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice3",81.72,0.199188913441324,"Q >= newx1Med"
"520","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice4",2.16,0.129694067905934,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"521","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice5",5.77,0.133758884834361,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"522","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice6",5.71,0.872194434667638,"Q >= min_limit & Q <= newx1Med"
"523","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice1",46.08,0.203637991421705,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"524","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",12.49,0.872042769698498,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"525","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"526","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice4",11.02,0.872194477101946,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"527","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice5",51.23,0.868192270205128,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"528","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice6",NA,NA,"Q >= min_limit & Q <= newx1Med"
"529","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice1",48.94,0.302643613944788,"Q >= newx1High[1] & Q <= newx1High[2]"
"530","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",0.4,0.261850784673635,"Q >= newx1High[1] & Q <= newx1High[2]"
"531","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice3",87.02,0.298999524448295,"Q >= newx1High"
"532","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice4",2.73,0.261772278522857,"Q >= newx1High[1] & Q <= newx1High[2]"
"533","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice5",6.96,0.263883793262241,"Q >= newx1High[1] & Q <= newx1High[2]"
"534","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice6",0.02,0.261772274058465,"Q >= newx1High[1] & Q <= newx1High[2]"
"535","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice1",61.85,0.302643613944788,"Q >= newx1High[1] & Q <= newx1High[2]"
"536","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",9.9,0.740037733618836,"Q >= newx1High[1] & Q <= newx1High[2]"
"537","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"538","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice4",8.36,0.740116293906852,"Q >= newx1High[1] & Q <= newx1High[2]"
"539","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice5",42.75,0.737929009556266,"Q >= newx1High[1] & Q <= newx1High[2]"
"540","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice6",4.03,0.740116265808855,"Q >= newx1High[1] & Q <= newx1High[2]"
"541","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice1",81.5,37.6508511713655,"Q >= newx1Low"
"542","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"543","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice3",71.51,37.6394969261205,"Q >= newx1Low"
"544","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",2.38,37.6583820655415,"Q >= newx1Low"
"545","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"546","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"547","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"548","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Low"
"549","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice1",109.12,53.1781409875048,"Q >= newx1Med"
"550","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"551","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice3",95.78,53.2030445845545,"Q >= newx1Med"
"552","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",4.86,53.1892758330683,"Q >= newx1Med"
"553","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"554","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"555","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"556","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Med"
"557","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice1",146.66,68.9499134849588,"Q >= newx1High"
"558","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"559","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice3",132.07,69.8724489449442,"Q >= newx1High"
"560","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",8.34,68.7201698503389,"Q >= newx1High"
"561","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"562","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"563","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"564","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1High"
"565","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice1",73.63,1.03512462922131,"Q >= min_limit & Q <= newx1Low"
"566","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice2",69.45,0.0953700547780838,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"567","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice3",73.66,1.03093314445616,"Q >= min_limit & Q <= newx1Low"
"568","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",0.81,1.02597129476604,"Q >= min_limit & Q <= newx1Low"
"569","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"570","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice2",173.99,0.918451091993815,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"571","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"572","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= newx1Low"
"573","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice1",42.89,0.128697045891945,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"574","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice2",98.52,0.192884055184332,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"575","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice3",38.68,0.129428138876912,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"576","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",0.56,0.872194434415558,"Q >= min_limit & Q <= newx1Med"
"577","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice1",66.32,0.872953350726106,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"578","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice2",166.52,0.814120403559937,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"579","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice3",64.36,0.872383142180585,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"580","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= newx1Med"
"581","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice1",44.19,0.26306719935531,"Q >= newx1High[1] & Q <= newx1High[2]"
"582","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice2",124.66,0.351618311503242,"Q >= newx1High[1] & Q <= newx1High[2]"
"583","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice3",40.21,0.261747105129358,"Q >= newx1High[1] & Q <= newx1High[2]"
"584","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",0.39,0.740116264046733,"Q >= min_limit & Q <= newx1High"
"585","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice1",62.19,0.738150261018843,"Q >= newx1High[1] & Q <= newx1High[2]"
"586","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice2",158.55,0.6990217750492,"Q >= newx1High[1] & Q <= newx1High[2]"
"587","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice3",59,0.740324584181681,"Q >= newx1High[1] & Q <= newx1High[2]"
"588","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= newx1High"
"589","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice1",136.47,37.1809677135293,"Q >= newx1Low"
"590","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",4.35,37.6583821575258,"Q >= newx1Low"
"591","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"592","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"593","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"594","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"595","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"596","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",10.86,53.1892758330325,"Q >= newx1Med"
"597","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"598","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"599","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"600","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"601","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"602","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",21.6,68.7202634445658,"Q >= newx1High"
"603","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"604","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"605","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"606","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"607","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice1",103.26,1.37108543808999,"Q >= min_limit & Q <= newx1Low"
"608","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",0.64,1.0259713122493,"Q >= min_limit & Q <= newx1Low"
"609","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"610","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"611","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"612","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"613","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice1",61.23,0.122150312680723,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"614","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",0.37,0.87219443347951,"Q >= min_limit & Q <= newx1Med"
"615","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"616","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice1",88.26,1.02213800881572,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"617","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Med"
"618","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"619","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice1",62.87,0.25370917921522,"Q >= newx1High[1] & Q <= newx1High[2]"
"620","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",0.21,0.740116263999339,"Q >= min_limit & Q <= newx1High"
"621","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"622","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice1",77.1,0.74827650783951,"Q >= newx1High[1] & Q <= newx1High[2]"
"623","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1High"
"624","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"625","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice1",7.64,37.6583799273595,"Q >= newx1Low"
"626","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice2",1.62,37.6583823543923,"Q >= newx1Low"
"627","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"628","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",2.6,37.6583822190361,"Q >= newx1Low"
"629","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"630","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"631","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"632","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Low"
"633","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice1",15.82,53.1892758370335,"Q >= newx1Med"
"634","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice2",4.79,53.1892758330121,"Q >= newx1Med"
"635","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"636","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",6.72,53.1892758329938,"Q >= newx1Med"
"637","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"638","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"639","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"640","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Med"
"641","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice1",28.98,68.720760002594,"Q >= newx1High"
"642","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice2",10.76,68.7201789815048,"Q >= newx1High"
"643","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"644","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",14.22,68.7202128455556,"Q >= newx1High"
"645","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"646","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"647","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"648","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1High"
"649","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice1",3.68,1.0259712972283,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"650","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice2",1.06,1.02597132462309,"Q >= min_limit & Q <= newx1Low"
"651","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice3",171.23,1.05467037981636,"Q >= min_limit & Q <= newx1Low"
"652","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",1.09,1.02597128940341,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"653","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice1",7.25,1.0259712972283,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"654","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"655","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"656","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",4.09,1.02597128940341,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"657","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice1",0.45,0.12969408754086,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"658","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice2",0.75,0.872194470941015,"Q >= min_limit & Q <= newx1Med"
"659","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice3",60.98,0.0855559637856693,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"660","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",0.49,0.87219443342047,"Q <= newx1Med[1] & Q >= newx1Med[2]"
"661","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice1",6.22,0.872194447073898,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"662","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Med"
"663","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice3",160.52,0.916929009778329,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"664","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",1.71,0.87219443342047,"Q <= newx1Med[1] & Q >= newx1Med[2]"
"665","High","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice1",0.56,0.261772266408886,"Q >= newx1High[1] & Q <= newx1High[2]"
"666","High","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice2",0.55,0.740116257936221,"Q >= min_limit & Q <= newx1High"
