"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation","code","LimitBound","Flag"
"171","High","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L05-020_slice3","Lower","N"
"172","Low","Chub","Adult","Depth","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",2.25,37.6583823170584,"Q >= limit","M01-011_slice2","Lower","N"
"173","Low","Chub","Adult","Depth","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","M01-011_slice2","Lower","N"
"174","Med","Chub","Adult","Depth","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",4.91,53.1892758329575,"Q >= limit","M01-011_slice2","Lower","N"
"175","Med","Chub","Adult","Depth","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","M01-011_slice2","Lower","N"
"176","High","Chub","Adult","Depth","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",8.63,68.7201718364592,"Q >= limit","M01-011_slice2","Lower","N"
"177","High","Chub","Adult","Depth","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","M01-011_slice2","Lower","N"
"178","Low","Chub","Adult","Depth","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.63,37.6583819589019,"Q >= limit","M01-020_slice2","Lower","N"
"179","Low","Chub","Adult","Depth","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","M01-020_slice2","Lower","N"
"180","Low","Chub","Adult","Depth","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",2.69,37.6583387043623,"Q >= limit","M02-011_slice3","Lower","N"
"181","Low","Chub","Adult","Depth","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= limit","M02-011_slice3","Lower","N"
"182","Med","Chub","Adult","Depth","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",5.55,53.1892758261751,"Q >= limit","M02-011_slice3","Lower","N"
"183","Med","Chub","Adult","Depth","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= limit","M02-011_slice3","Lower","N"
"184","High","Chub","Adult","Depth","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",9.59,68.7206208916795,"Q >= limit","M02-011_slice3","Lower","N"
"185","High","Chub","Adult","Depth","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= limit","M02-011_slice3","Lower","N"
"186","Low","Chub","Adult","Depth","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",2.14,37.6583773871915,"Q >= limit","M02-020_slice2","Lower","N"
"187","Low","Chub","Adult","Depth","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","M02-020_slice2","Lower","N"
"188","Med","Chub","Adult","Depth","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",6,53.1892757757257,"Q >= limit","M02-020_slice2","Lower","N"
"189","Med","Chub","Adult","Depth","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","M02-020_slice2","Lower","N"
"190","High","Chub","Adult","Depth","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",13.26,68.720174134637,"Q >= limit","M02-020_slice2","Lower","N"
"191","High","Chub","Adult","Depth","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","M02-020_slice2","Lower","N"
"192","Low","Chub","Adult","Depth","J01-010","201105_Aliso_Recalibration_Update","slice2",4.5,37.6583808469684,"Q >= limit","J01-010_slice2","Lower","N"
"193","Low","Chub","Adult","Depth","J01-010","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-010_slice2","Lower","N"
"194","Med","Chub","Adult","Depth","J01-010","201105_Aliso_Recalibration_Update","slice2",9.71,53.1892758330079,"Q >= limit","J01-010_slice2","Lower","N"
"195","Med","Chub","Adult","Depth","J01-010","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-010_slice2","Lower","N"
"196","High","Chub","Adult","Depth","J01-010","201105_Aliso_Recalibration_Update","slice2",16.62,68.7201722730897,"Q >= limit","J01-010_slice2","Lower","N"
"197","High","Chub","Adult","Depth","J01-010","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-010_slice2","Lower","N"
"198","Low","Chub","Adult","Depth","J01-020","201105_Aliso_Recalibration_Update","slice3",1.37,37.6583823289641,"Q >= limit","J01-020_slice3","Lower","N"
"199","Low","Chub","Adult","Depth","J01-020","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J01-020_slice3","Lower","N"
"200","Med","Chub","Adult","Depth","J01-020","201105_Aliso_Recalibration_Update","slice3",3.42,53.1892758331836,"Q >= limit","J01-020_slice3","Lower","N"
"201","Med","Chub","Adult","Depth","J01-020","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J01-020_slice3","Lower","N"
"202","High","Chub","Adult","Depth","J01-020","201105_Aliso_Recalibration_Update","slice3",7.04,68.7201725161818,"Q >= limit","J01-020_slice3","Lower","N"
"203","High","Chub","Adult","Depth","J01-020","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J01-020_slice3","Lower","N"
"204","Low","Chub","Adult","Depth","J01-030","201105_Aliso_Recalibration_Update","slice3",2.59,37.6583268746491,"Q >= limit","J01-030_slice3","Lower","N"
"205","Low","Chub","Adult","Depth","J01-030","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J01-030_slice3","Lower","N"
"206","Med","Chub","Adult","Depth","J01-030","201105_Aliso_Recalibration_Update","slice3",5.72,53.1892754744388,"Q >= limit","J01-030_slice3","Lower","N"
"207","Med","Chub","Adult","Depth","J01-030","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J01-030_slice3","Lower","N"
"208","High","Chub","Adult","Depth","J01-030","201105_Aliso_Recalibration_Update","slice3",10,68.7228667567544,"Q >= limit","J01-030_slice3","Lower","N"
"209","High","Chub","Adult","Depth","J01-030","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J01-030_slice3","Lower","N"
"210","Low","Chub","Adult","Depth","J01-031","201105_Aliso_Recalibration_Update","slice2",2.03,37.6582897665177,"Q >= limit","J01-031_slice2","Lower","N"
"211","Low","Chub","Adult","Depth","J01-031","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-031_slice2","Lower","N"
"212","Med","Chub","Adult","Depth","J01-031","201105_Aliso_Recalibration_Update","slice2",4.72,53.1923247236664,"Q >= limit","J01-031_slice2","Lower","N"
"213","Med","Chub","Adult","Depth","J01-031","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-031_slice2","Lower","N"
"214","High","Chub","Adult","Depth","J01-031","201105_Aliso_Recalibration_Update","slice2",9.34,70.6737551167396,"Q >= limit","J01-031_slice2","Lower","N"
"215","High","Chub","Adult","Depth","J01-031","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-031_slice2","Lower","N"
"216","Low","Chub","Adult","Depth","J01-040","201105_Aliso_Recalibration_Update","slice4",1.32,37.6583823727618,"Q >= limit","J01-040_slice4","Lower","N"
"217","Low","Chub","Adult","Depth","J01-040","201105_Aliso_Recalibration_Update","slice4",NA,NA,"Q >= limit","J01-040_slice4","Lower","N"
"218","Med","Chub","Adult","Depth","J01-040","201105_Aliso_Recalibration_Update","slice4",2.9,53.1892758179659,"Q >= limit","J01-040_slice4","Lower","N"
"219","Med","Chub","Adult","Depth","J01-040","201105_Aliso_Recalibration_Update","slice4",NA,NA,"Q >= limit","J01-040_slice4","Lower","N"
"220","High","Chub","Adult","Depth","J01-040","201105_Aliso_Recalibration_Update","slice4",5.01,68.7202142538347,"Q >= limit","J01-040_slice4","Lower","N"
"221","High","Chub","Adult","Depth","J01-040","201105_Aliso_Recalibration_Update","slice4",NA,NA,"Q >= limit","J01-040_slice4","Lower","N"
"222","Low","Chub","Adult","Depth","J01-041","201105_Aliso_Recalibration_Update","slice2",2.42,37.6583821687001,"Q >= limit","J01-041_slice2","Lower","N"
"223","Low","Chub","Adult","Depth","J01-041","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-041_slice2","Lower","N"
"224","Med","Chub","Adult","Depth","J01-041","201105_Aliso_Recalibration_Update","slice2",5.15,53.1892758337947,"Q >= limit","J01-041_slice2","Lower","N"
"225","Med","Chub","Adult","Depth","J01-041","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-041_slice2","Lower","N"
"226","High","Chub","Adult","Depth","J01-041","201105_Aliso_Recalibration_Update","slice2",8.86,68.7201746166848,"Q >= limit","J01-041_slice2","Lower","N"
"227","High","Chub","Adult","Depth","J01-041","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-041_slice2","Lower","N"
"228","Low","Chub","Adult","Depth","J01-060","201105_Aliso_Recalibration_Update","slice2",1.91,37.6583822917485,"Q >= limit","J01-060_slice2","Lower","N"
"229","Low","Chub","Adult","Depth","J01-060","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-060_slice2","Lower","N"
"230","Med","Chub","Adult","Depth","J01-060","201105_Aliso_Recalibration_Update","slice2",4.56,53.189275834013,"Q >= limit","J01-060_slice2","Lower","N"
"231","Med","Chub","Adult","Depth","J01-060","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-060_slice2","Lower","N"
"232","High","Chub","Adult","Depth","J01-060","201105_Aliso_Recalibration_Update","slice2",8.3,68.7201724250996,"Q >= limit","J01-060_slice2","Lower","N"
"233","High","Chub","Adult","Depth","J01-060","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-060_slice2","Lower","N"
"234","Low","Chub","Adult","Depth","J01-061","201105_Aliso_Recalibration_Update","slice2",1.29,37.6583547036186,"Q >= limit","J01-061_slice2","Lower","N"
"235","Low","Chub","Adult","Depth","J01-061","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-061_slice2","Lower","N"
"236","Med","Chub","Adult","Depth","J01-061","201105_Aliso_Recalibration_Update","slice2",2.51,53.1892758329883,"Q >= limit","J01-061_slice2","Lower","N"
"237","Med","Chub","Adult","Depth","J01-061","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-061_slice2","Lower","N"
"238","High","Chub","Adult","Depth","J01-061","201105_Aliso_Recalibration_Update","slice2",4.09,68.720250055672,"Q >= limit","J01-061_slice2","Lower","N"
"239","High","Chub","Adult","Depth","J01-061","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-061_slice2","Lower","N"
"240","Low","Chub","Adult","Depth","J01-090","201105_Aliso_Recalibration_Update","slice2",1.76,37.6583817552691,"Q >= limit","J01-090_slice2","Lower","N"
"241","Low","Chub","Adult","Depth","J01-090","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-090_slice2","Lower","N"
"242","Med","Chub","Adult","Depth","J01-090","201105_Aliso_Recalibration_Update","slice2",3.42,53.1892764502674,"Q >= limit","J01-090_slice2","Lower","N"
"243","Med","Chub","Adult","Depth","J01-090","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-090_slice2","Lower","N"
"244","High","Chub","Adult","Depth","J01-090","201105_Aliso_Recalibration_Update","slice2",5.56,68.7237573126074,"Q >= limit","J01-090_slice2","Lower","N"
"245","High","Chub","Adult","Depth","J01-090","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-090_slice2","Lower","N"
"246","Low","Chub","Adult","Depth","J01-091","201105_Aliso_Recalibration_Update","slice2",6.7,37.6325245172022,"Q >= limit","J01-091_slice2","Lower","N"
"247","Low","Chub","Adult","Depth","J01-091","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-091_slice2","Lower","N"
"248","Med","Chub","Adult","Depth","J01-091","201105_Aliso_Recalibration_Update","slice2",13.51,53.0594977410674,"Q >= limit","J01-091_slice2","Lower","N"
"249","Med","Chub","Adult","Depth","J01-091","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-091_slice2","Lower","N"
"250","Low","Chub","Adult","Depth","J01-100","201105_Aliso_Recalibration_Update","slice2",5.87,37.6583629558949,"Q >= limit","J01-100_slice2","Lower","N"
"251","Low","Chub","Adult","Depth","J01-100","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-100_slice2","Lower","N"
"252","Med","Chub","Adult","Depth","J01-100","201105_Aliso_Recalibration_Update","slice2",11.83,53.1892758362648,"Q >= limit","J01-100_slice2","Lower","N"
"253","Med","Chub","Adult","Depth","J01-100","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-100_slice2","Lower","N"
"254","High","Chub","Adult","Depth","J01-100","201105_Aliso_Recalibration_Update","slice2",19.63,68.7203097568634,"Q >= limit","J01-100_slice2","Lower","N"
"255","High","Chub","Adult","Depth","J01-100","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J01-100_slice2","Lower","N"
"256","Low","Chub","Adult","Depth","J03-010","201105_Aliso_Recalibration_Update","slice2",1.16,37.6583820518536,"Q >= limit","J03-010_slice2","Lower","N"
"257","Low","Chub","Adult","Depth","J03-010","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J03-010_slice2","Lower","N"
"258","Med","Chub","Adult","Depth","J03-010","201105_Aliso_Recalibration_Update","slice2",2.61,53.1892758396028,"Q >= limit","J03-010_slice2","Lower","N"
"259","Med","Chub","Adult","Depth","J03-010","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J03-010_slice2","Lower","N"
"260","High","Chub","Adult","Depth","J03-010","201105_Aliso_Recalibration_Update","slice2",4.7,68.7201698016025,"Q >= limit","J03-010_slice2","Lower","N"
"261","High","Chub","Adult","Depth","J03-010","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= limit","J03-010_slice2","Lower","N"
"262","Low","Chub","Adult","Depth","J04-010","201105_Aliso_Recalibration_Update","slice3",1.18,37.6583817790965,"Q >= limit","J04-010_slice3","Lower","N"
"263","Low","Chub","Adult","Depth","J04-010","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J04-010_slice3","Lower","N"
"264","Med","Chub","Adult","Depth","J04-010","201105_Aliso_Recalibration_Update","slice3",3.47,53.1892758330192,"Q >= limit","J04-010_slice3","Lower","N"
"265","Med","Chub","Adult","Depth","J04-010","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J04-010_slice3","Lower","N"
"266","High","Chub","Adult","Depth","J04-010","201105_Aliso_Recalibration_Update","slice3",6.89,68.7201727443217,"Q >= limit","J04-010_slice3","Lower","N"
"267","High","Chub","Adult","Depth","J04-010","201105_Aliso_Recalibration_Update","slice3",NA,NA,"Q >= limit","J04-010_slice3","Lower","N"
"268","Low","Chub","Adult","Depth","J05-010","201105_Aliso_Recalibration_Update","slice1",1.34,37.6583810335974,"Q >= limit","J05-010_slice1","Lower","N"
"269","Low","Chub","Adult","Depth","J05-010","201105_Aliso_Recalibration_Update","slice1",NA,NA,"Q >= limit","J05-010_slice1","Lower","N"
"270","Med","Chub","Adult","Depth","J05-010","201105_Aliso_Recalibration_Update","slice1",3.25,53.1892758241663,"Q >= limit","J05-010_slice1","Lower","N"
"271","Med","Chub","Adult","Depth","J05-010","201105_Aliso_Recalibration_Update","slice1",NA,NA,"Q >= limit","J05-010_slice1","Lower","N"
"272","High","Chub","Adult","Depth","J05-010","201105_Aliso_Recalibration_Update","slice1",6.05,68.720535279258,"Q >= limit","J05-010_slice1","Lower","N"
"273","High","Chub","Adult","Depth","J05-010","201105_Aliso_Recalibration_Update","slice1",NA,NA,"Q >= limit","J05-010_slice1","Lower","N"
"274","Low","Chub","Adult","Depth","J07-010","201105_Aliso_Recalibration_Update","slice1",7.21,37.6562972152696,"Q >= limit","J07-010_slice1","Lower","N"
"275","Low","Chub","Adult","Depth","J07-010","201105_Aliso_Recalibration_Update","slice1",NA,NA,"Q >= limit","J07-010_slice1","Lower","N"
"276","Med","Chub","Adult","Depth","J07-010","201105_Aliso_Recalibration_Update","slice1",14.24,53.1890545827271,"Q >= limit","J07-010_slice1","Lower","N"
"277","Med","Chub","Adult","Depth","J07-010","201105_Aliso_Recalibration_Update","slice1",NA,NA,"Q >= limit","J07-010_slice1","Lower","N"
"278","High","Chub","Adult","Depth","J07-010","201105_Aliso_Recalibration_Update","slice1",23.19,68.7283805396193,"Q >= limit","J07-010_slice1","Lower","N"
"279","High","Chub","Adult","Depth","J07-010","201105_Aliso_Recalibration_Update","slice1",NA,NA,"Q >= limit","J07-010_slice1","Lower","N"
"280","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.01,0.261774888377957,"Q >= limit[1] & Q <= limit[2]","I01-012_slice2","Lower","N"
"281","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.14,0.740116228495686,"Q >= limit[1] & Q <= limit[2]","I01-012_slice2","Upper","N"
"282","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0,0.129707369899783,"Q >= limit[1] & Q <= limit[2]","I01-020_slice2","Lower","N"
"283","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.17,0.87218116389024,"Q >= limit[1] & Q <= limit[2]","I01-020_slice2","Upper","N"
"284","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0,0.261779144145428,"Q >= limit[1] & Q <= limit[2]","I01-020_slice2","Lower","N"
"285","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.11,0.74010939066076,"Q >= limit[1] & Q <= limit[2]","I01-020_slice2","Upper","N"
"286","Med","Chub","Adult","Velocity","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.01,0.129694102068088,"Q >= limit[1] & Q <= limit[2]","K01-020_slice2","Lower","N"
"287","Med","Chub","Adult","Velocity","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",2.59,0.872194780480271,"Q >= limit[1] & Q <= limit[2]","K01-020_slice2","Upper","N"
"288","High","Chub","Adult","Velocity","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.08,0.261772275422925,"Q >= limit[1] & Q <= limit[2]","K01-020_slice2","Lower","N"
"289","High","Chub","Adult","Velocity","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.72,0.740115968925559,"Q >= limit[1] & Q <= limit[2]","K01-020_slice2","Upper","N"
"290","High","Chub","Adult","Velocity","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.02,0.261772274163488,"Q >= limit[1] & Q <= limit[2]","K01-030_slice2","Lower","N"
"291","High","Chub","Adult","Velocity","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.3,0.740116265662486,"Q >= limit[1] & Q <= limit[2]","K01-030_slice2","Upper","N"
"292","Med","Chub","Adult","Velocity","L01-100","210422_San_Juan_Existing_Conditions","slice3",0.01,0.129694102338734,"Q >= limit[1] & Q <= limit[2]","L01-100_slice3","Lower","N"
"293","Med","Chub","Adult","Velocity","L01-100","210422_San_Juan_Existing_Conditions","slice3",0.09,0.872194434208074,"Q >= limit[1] & Q <= limit[2]","L01-100_slice3","Upper","N"
"294","High","Chub","Adult","Velocity","L01-100","210422_San_Juan_Existing_Conditions","slice3",0.01,0.261772275806899,"Q >= limit[1] & Q <= limit[2]","L01-100_slice3","Lower","N"
"295","High","Chub","Adult","Velocity","L01-100","210422_San_Juan_Existing_Conditions","slice3",0.06,0.740116264134606,"Q >= limit[1] & Q <= limit[2]","L01-100_slice3","Upper","N"
"296","Med","Chub","Adult","Velocity","L02-010","210422_San_Juan_Existing_Conditions","slice2",0,0.121735783064372,"Q >= limit[1] & Q <= limit[2]","L02-010_slice2","Lower","N"
"297","Med","Chub","Adult","Velocity","L02-010","210422_San_Juan_Existing_Conditions","slice2",0.59,0.87219443412288,"Q >= limit[1] & Q <= limit[2]","L02-010_slice2","Upper","N"
"298","High","Chub","Adult","Velocity","L02-010","210422_San_Juan_Existing_Conditions","slice2",0,0.262034632855384,"Q >= limit[1] & Q <= limit[2]","L02-010_slice2","Lower","N"
"299","High","Chub","Adult","Velocity","L02-010","210422_San_Juan_Existing_Conditions","slice2",0.44,0.740116261866075,"Q >= limit[1] & Q <= limit[2]","L02-010_slice2","Upper","N"
"300","Med","Chub","Adult","Velocity","L02-020","210422_San_Juan_Existing_Conditions","slice1",0.01,0.129694102330755,"Q >= limit[1] & Q <= limit[2]","L02-020_slice1","Lower","N"
"301","Med","Chub","Adult","Velocity","L02-020","210422_San_Juan_Existing_Conditions","slice1",0.8,0.87219443353048,"Q >= limit[1] & Q <= limit[2]","L02-020_slice1","Upper","N"
"302","High","Chub","Adult","Velocity","L02-020","210422_San_Juan_Existing_Conditions","slice1",0.02,0.261772275750651,"Q >= limit[1] & Q <= limit[2]","L02-020_slice1","Lower","N"
"303","High","Chub","Adult","Velocity","L02-020","210422_San_Juan_Existing_Conditions","slice1",0.61,0.740116262391977,"Q >= limit[1] & Q <= limit[2]","L02-020_slice1","Upper","N"
"304","High","Chub","Adult","Velocity","L02-021","210422_San_Juan_Existing_Conditions","slice3",0.02,0.261772275802714,"Q >= limit[1] & Q <= limit[2]","L02-021_slice3","Lower","N"
"305","High","Chub","Adult","Velocity","L02-021","210422_San_Juan_Existing_Conditions","slice3",0.34,0.740116264100513,"Q >= limit[1] & Q <= limit[2]","L02-021_slice3","Upper","N"
"306","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",0.16,0.129845818625861,"Q >= limit[1] & Q <= limit[2]","L02-022_slice2","Lower","N"
"307","Med","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",12.49,0.872042769698498,"Q >= limit[1] & Q <= limit[2]","L02-022_slice2","Upper","N"
"308","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",0.4,0.261850784673635,"Q >= limit[1] & Q <= limit[2]","L02-022_slice2","Lower","N"
"309","High","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",9.9,0.740037733618836,"Q >= limit[1] & Q <= limit[2]","L02-022_slice2","Upper","N"
"310","High","Chub","Adult","Velocity","L02-050","210422_San_Juan_Existing_Conditions","slice2",0.01,0.261772275605566,"Q >= limit[1] & Q <= limit[2]","L02-050_slice2","Lower","N"
"311","High","Chub","Adult","Velocity","L02-050","210422_San_Juan_Existing_Conditions","slice2",0.21,0.740116263663825,"Q >= limit[1] & Q <= limit[2]","L02-050_slice2","Upper","N"
"312","High","Chub","Adult","Velocity","L02-051","210422_San_Juan_Existing_Conditions","slice2",0,0.261772267490768,"Q >= limit[1] & Q <= limit[2]","L02-051_slice2","Lower","N"
"313","High","Chub","Adult","Velocity","L02-051","210422_San_Juan_Existing_Conditions","slice2",0.21,0.740116272144809,"Q >= limit[1] & Q <= limit[2]","L02-051_slice2","Upper","N"
"314","Med","Chub","Adult","Velocity","L03-010","210422_San_Juan_Existing_Conditions","slice2",0,0.129694094075701,"Q >= limit[1] & Q <= limit[2]","L03-010_slice2","Lower","N"
"315","Med","Chub","Adult","Velocity","L03-010","210422_San_Juan_Existing_Conditions","slice2",1.58,0.872198161475097,"Q >= limit[1] & Q <= limit[2]","L03-010_slice2","Upper","N"
"316","High","Chub","Adult","Velocity","L03-010","210422_San_Juan_Existing_Conditions","slice2",0.01,0.261772267128053,"Q >= limit[1] & Q <= limit[2]","L03-010_slice2","Lower","N"
"317","High","Chub","Adult","Velocity","L03-010","210422_San_Juan_Existing_Conditions","slice2",1.15,0.740116275989225,"Q >= limit[1] & Q <= limit[2]","L03-010_slice2","Upper","N"
"318","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",0.02,0.135162205842548,"Q >= limit[1] & Q <= limit[2]","L03-011_slice1","Lower","N"
"319","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",7.04,0.866726360427874,"Q >= limit[1] & Q <= limit[2]","L03-011_slice1","Upper","N"
"320","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",0.16,0.264616613756085,"Q >= limit[1] & Q <= limit[2]","L03-011_slice1","Lower","N"
"321","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",4.12,0.737271875507461,"Q >= limit[1] & Q <= limit[2]","L03-011_slice1","Upper","N"
"322","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.05,0.740611158351021,"Q >= limit[1] & Q <= limit[2]","L03-030_slice3","Lower","N"
"323","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.12,0.740611158351021,"Q >= limit[1] & Q <= limit[2]","L03-030_slice3","Upper","N"
"324","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.02,0.26177227580717,"Q >= limit[1] & Q <= limit[2]","L04-010_slice2","Lower","N"
"325","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.5,0.740116263424695,"Q >= limit[1] & Q <= limit[2]","L04-010_slice2","Upper","N"
"326","High","Chub","Adult","Velocity","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.04,0.261772275798024,"Q >= limit[1] & Q <= limit[2]","M01-011_slice2","Lower","N"
"327","High","Chub","Adult","Velocity","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.51,0.740116263569386,"Q >= limit[1] & Q <= limit[2]","M01-011_slice2","Upper","N"
"328","High","Chub","Adult","Velocity","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.04,0.261772275841809,"Q >= limit[1] & Q <= limit[2]","M02-011_slice3","Lower","N"
"329","High","Chub","Adult","Velocity","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.78,0.74011622753206,"Q >= limit[1] & Q <= limit[2]","M02-011_slice3","Upper","N"
"330","Med","Chub","Adult","Velocity","J01-010","201105_Aliso_Recalibration_Update","slice2",0.25,0.187470080892394,"Q >= limit[1] & Q <= limit[2]","J01-010_slice2","Lower","N"
"331","Med","Chub","Adult","Velocity","J01-010","201105_Aliso_Recalibration_Update","slice2",24.33,0.814418455346369,"Q >= limit[1] & Q <= limit[2]","J01-010_slice2","Upper","N"
"332","High","Chub","Adult","Velocity","J01-010","201105_Aliso_Recalibration_Update","slice2",1.13,0.293282204597895,"Q >= limit[1] & Q <= limit[2]","J01-010_slice2","Lower","N"
"333","High","Chub","Adult","Velocity","J01-010","201105_Aliso_Recalibration_Update","slice2",16.35,0.708606320427182,"Q >= limit[1] & Q <= limit[2]","J01-010_slice2","Upper","N"
"334","Med","Chub","Adult","Velocity","J01-031","201105_Aliso_Recalibration_Update","slice2",0,0.129694075033471,"Q >= limit[1] & Q <= limit[2]","J01-031_slice2","Lower","N"
"335","Med","Chub","Adult","Velocity","J01-031","201105_Aliso_Recalibration_Update","slice2",0.51,0.87219451135996,"Q >= limit[1] & Q <= limit[2]","J01-031_slice2","Upper","N"
